date,description,amount,reference,account
2024-01-02,STRIPE TRANSFER 240102,4250.00,,Business Checking
2024-01-03,GUSTO PAYROLL,−3200.00,PAY-001,Business Checking
2024-01-03,GUSTO PAYROLL TAX,−485.00,PAY-001,Business Checking
2024-01-05,AMZN MKTP US*2K4X7,−89.99,,Business Credit Card
2024-01-05,GOOGLE *WORKSPACE,−72.00,,Business Credit Card
2024-01-08,CHECK DEP - INVOICE 1042,1500.00,1042,Business Checking
2024-01-08,UBER TRIP 01/07,−34.50,,Business Credit Card
2024-01-09,COMCAST BUSINESS,−199.00,,Business Checking
2024-01-10,STRIPE TRANSFER 240110,6780.00,,Business Checking
2024-01-10,SLACK TECHNOLOGIES,−15.00,,Business Credit Card
2024-01-12,STAPLES DIRECT,−156.78,,Business Credit Card
2024-01-12,WF TRANSFER TO SAVINGS,−2000.00,XFER,Business Checking
2024-01-15,GUSTO PAYROLL,−3200.00,PAY-002,Business Checking
2024-01-15,GUSTO PAYROLL TAX,−485.00,PAY-002,Business Checking
2024-01-16,ZOOM.US,−149.90,,Business Credit Card
2024-01-17,ADOBE *CREATIVE CLOUD,−59.99,,Business Credit Card
2024-01-18,DELTA AIR 0062341987,−387.00,,Business Credit Card
2024-01-18,MARRIOTT CHICAGO,−289.00,,Business Credit Card
2024-01-19,UBER EATS,−42.15,,Business Credit Card
2024-01-22,STRIPE TRANSFER 240122,3920.00,,Business Checking
2024-01-22,AWS SERVICES,−234.67,,Business Credit Card
2024-01-23,LINKEDIN PREMIUM,−59.99,,Business Credit Card
2024-01-24,PG&E ELECTRIC,−342.00,,Business Checking
2024-01-25,QUICKBOOKS SUBSCRIPTION,−85.00,,Business Credit Card
2024-01-26,DOORDASH*ORDER,−28.43,,Business Credit Card
2024-01-29,STRIPE TRANSFER 240129,5100.00,,Business Checking
2024-01-29,GUSTO PAYROLL,−3200.00,PAY-003,Business Checking
2024-01-29,GUSTO PAYROLL TAX,−485.00,PAY-003,Business Checking
2024-01-30,FEDEX SHIPPING,−45.67,,Business Credit Card
2024-01-30,HUBSPOT INC,−800.00,,Business Credit Card
2024-01-31,BANK SERVICE FEE,−25.00,,Business Checking
2024-02-01,INTEREST EARNED,12.34,,Business Savings
2024-02-02,STRIPE TRANSFER 240202,4890.00,,Business Checking
2024-02-05,GITHUB INC,−21.00,,Business Credit Card
2024-02-05,NOTION LABS,−10.00,,Business Credit Card
2024-02-06,COSTCO WHSE,−523.45,,Business Credit Card
2024-02-07,STATE FARM INSURANCE,−450.00,,Business Checking
2024-02-08,FIGMA INC,−15.00,,Business Credit Card
2024-02-09,CALENDLY,−12.00,,Business Credit Card
2024-02-12,CHECK DEP - INVOICE 1089,2750.00,1089,Business Checking
2024-02-12,UBER TRIP 02/11,−28.90,,Business Credit Card
2024-02-13,AT&T WIRELESS,−185.00,,Business Checking
2024-02-14,STRIPE TRANSFER 240214,7200.00,,Business Checking
2024-02-15,GUSTO PAYROLL,−3200.00,PAY-004,Business Checking
2024-02-15,GUSTO PAYROLL TAX,−485.00,PAY-004,Business Checking
2024-02-16,AIRBNB HMQK7N,−412.00,,Business Credit Card
2024-02-19,USPS PO BOXES,−230.00,,Business Checking
2024-02-20,CANVA PTY LTD,−12.99,,Business Credit Card
2024-02-21,UNKNOWN MERCHANT 847293,−67.50,,Business Credit Card
2024-02-22,WIRE TRANSFER IN - CLIENT ABC,15000.00,WIRE-221,Business Checking
2024-02-23,CONSULTING FEE DEPOSIT,3500.00,DEP-445,Business Checking
